Condition,Medicine Names,Purpose
Kidney Stones,"Tamsulosin (Flomax), Potassium citrate, Allopurinol, Pain relievers (Ibuprofen, Acetaminophen)","To facilitate stone passage, prevent new stones, and relieve pain."
Polycystic Kidney Disease (PKD),"Tolvaptan (Jynarque), ACE inhibitors, ARBs",To slow disease progression and manage hypertension.
Glomerulonephritis,"Prednisone, Cyclophosphamide, Mycophenolate mofetil, Rituximab",To reduce inflammation and manage autoimmune causes.
Urinary Tract Infection (UTI),"Nitrofurantoin, Trimethoprim-sulfamethoxazole (Bactrim), Ciprofloxacin, Fosfomycin",To treat bacterial infections in the urinary tract and kidneys.
Nephrotic Syndrome,"Prednisone, Cyclosporine, Tacrolimus, Mycophenolate mofetil",To manage proteinuria and reduce inflammation.
Hyperkalemia (Kidney-related),"Sodium polystyrene sulfonate (Kayexalate), Patiromer (Veltassa), Insulin with glucose, Calcium gluconate",To reduce potassium levels and protect the heart from arrhythmias.
Renal Osteodystrophy,"Calcitriol, Paricalcitol, Sevelamer, Calcium acetate",To manage bone disorders caused by kidney disease.
End-Stage Renal Disease (ESRD),"Erythropoietin-stimulating agents, Phosphate binders, Vitamin D analogs, Heparin","To manage anemia, mineral imbalances, and prevent clotting during dialysis."
Kidney Transplant (Post-surgery),"Tacrolimus, Cyclosporine, Mycophenolate mofetil, Prednisone",Immunosuppressants to prevent organ rejection.
Renal Tubular Acidosis,"Sodium bicarbonate, Potassium citrate",To correct acid-base imbalance.
Acute Pyelonephritis,"Ceftriaxone, Ciprofloxacin, Levofloxacin, Amoxicillin-clavulanate",To treat bacterial infections of the kidney.
Chronic Obstructive Pulmonary Disease (COPD),"Salmeterol (Serevent), Formoterol (Foradil), Tiotropium (Spiriva), Ipratropium (Atrovent), Fluticasone (Flovent), Budesonide (Pulmicort), Roflumilast (Daliresp), Prednisone","To reduce symptoms, improve airflow, prevent flare-ups, and manage inflammation."
Asthma,"Albuterol (Ventolin, ProAir), Salmeterol (Serevent), Fluticasone (Flovent), Budesonide (Pulmicort), Montelukast (Singulair), Theophylline, Prednisone","To relieve acute symptoms, reduce inflammation, and prevent asthma attacks."
Pneumonia,"Ceftriaxone, Azithromycin, Levofloxacin, Amoxicillin-clavulanate (Augmentin), Meropenem, Vancomycin",To treat bacterial infections of the lungs.
Pulmonary Fibrosis,"Pirfenidone (Esbriet), Nintedanib (Ofev), Corticosteroids (Prednisone), Oxygen therapy",To slow disease progression and manage inflammation.
Tuberculosis (TB),"Rifampin, Isoniazid, Pyrazinamide, Ethambutol, Bedaquiline, Amikacin",To treat active tuberculosis infection and prevent its spread.
Acute Respiratory Distress Syndrome (ARDS),"Mechanical ventilation, Oxygen therapy, Sedation, Corticosteroids (Dexamethasone, Methylprednisolone), Nitric oxide",To manage severe respiratory failure and reduce inflammation.
Chronic Bronchitis,"Ipratropium (Atrovent), Tiotropium (Spiriva), Salmeterol (Serevent), Fluticasone (Flovent), Prednisone","To reduce inflammation, improve airflow, and treat exacerbations."
Emphysema,"Tiotropium (Spiriva), Salmeterol (Serevent), Fluticasone (Flovent), Albuterol (Ventolin), Oxygen therapy",To improve airflow and oxygenation in patients with lung damage.
Lung Cancer (Non-small cell & Small cell),"Cisplatin, Carboplatin, Paclitaxel, Docetaxel, Gemcitabine, Pembrolizumab (Keytruda), Nivolumab (Opdivo), Erlotinib (Tarceva)",To treat and manage various types of lung cancer.
Cystic Fibrosis,"Ivacaftor (Kalydeco), Lumacaftor/Ivacaftor (Orkambi), Dornase alfa (Pulmozyme), Tobramycin (TOBI), Azithromycin",To improve lung function and manage respiratory infections.
Sleep Apnea,"CPAP (Continuous Positive Airway Pressure), Modafinil (Provigil), Theophylline",To manage obstructive sleep apnea and improve airflow during sleep.
Pneumothorax (Collapsed lung),"Oxygen therapy, Analgesics (e.g., Morphine), Chest tube, Pleurodesis (Talc or other agents)",To re-expand the lung and relieve pain.
Interstitial Lung Disease (ILD),"Prednisone, Azathioprine, Cyclophosphamide, Mycophenolate mofetil, Pirfenidone, Nintedanib",To manage inflammation and fibrosis in the lungs.
Pulmonary Hypertension,"Sildenafil (Revatio), Bosentan (Tracleer), Ambrisentan (Letairis), Epoprostenol (Flolan), Treprostinil (Remodulin)",To reduce pulmonary artery pressure and improve heart function.
Bronchiectasis,"Antibiotics (Amoxicillin-clavulanate, Ciprofloxacin, Azithromycin), Inhaled corticosteroids, Hypertonic saline",To treat infections and manage symptoms in patients with damaged airways.
Lung Transplant (Post-surgery),"Tacrolimus, Cyclosporine, Mycophenolate mofetil, Prednisone, Azithromycin",To prevent organ rejection and treat infections post-transplant
Neck Fracture (Pre-surgery),"Analgesics: Ibuprofen, Acetaminophen, Morphine, Oxycodone, Fentanyl",Pain management before surgery.
Neck Fracture (Post-surgery),"Pain relievers: Acetaminophen (Tylenol), Ibuprofen, Morphine, Hydrocodone, Fentanyl",To manage post-operative pain.
Neck Fracture (Muscle Spasm Relief),"Cyclobenzaprine (Flexeril), Methocarbamol (Robaxin), Baclofen, Tizanidine (Zanaflex)",To relieve muscle spasms that may result from neck fractures.
Neck Fracture (Inflammation),"Prednisone, Dexamethasone, Methylprednisolone, Ibuprofen, Naproxen (Aleve)",To reduce inflammation and swelling around the fracture site.
Neck Fracture (Infection Prevention),"Cefazolin, Piperacillin-tazobactam (Zosyn), Vancomycin, Clindamycin",Antibiotics to prevent or treat infections related to the fracture or surgery.
Neck Fracture (Osteoporosis-related),"Bisphosphonates (Alendronate, Risedronate), Calcitonin, Teriparatide (Forteo)","To treat or prevent osteoporosis, which can contribute to fractures."
Kidney Surgery (Pre-surgery),"Antibiotics: Ceftriaxone, Piperacillin-tazobactam (Zosyn), Vancomycin, Metronidazole",To prevent infection and manage any underlying conditions.
Kidney Surgery (Pre-surgery),"Analgesics: Acetaminophen, Ibuprofen, Fentanyl, Morphine",Pain relief before surgery.
Kidney Surgery (Pre-surgery),"Sodium bicarbonate, Potassium supplements",To balance electrolytes and fluids before surgery.
Kidney Surgery (Post-surgery),"Pain relievers: Acetaminophen, Hydrocodone, Oxycodone, Fentanyl",To manage pain after surgery.
Kidney Surgery (Post-surgery),"Immunosuppressants (for transplant): Tacrolimus, Cyclosporine, Mycophenolate mofetil, Prednisone",To prevent organ rejection after kidney transplant surgery.
Kidney Surgery (Post-surgery),"Antibiotics: Ciprofloxacin, Vancomycin, Clindamycin",To prevent infection after surgery.
Kidney Surgery (Post-surgery),"Diuretics: Furosemide (Lasix), Torsemide",To manage fluid balance after surgery.
Lung Surgery (Pre-surgery),"Antibiotics: Ceftriaxone, Piperacillin-tazobactam (Zosyn), Levofloxacin, Vancomycin",To prevent infection and manage any underlying conditions.
Lung Surgery (Pre-surgery),"Pain relievers: Acetaminophen, Ibuprofen, Morphine, Fentanyl",To manage pain before surgery.
Lung Surgery (Pre-surgery),"Bronchodilators: Albuterol (Ventolin), Salmeterol (Serevent), Ipratropium (Atrovent)",To open airways and improve lung function before surgery.
Lung Surgery (Post-surgery),"Pain relievers: Acetaminophen, Oxycodone, Fentanyl, Hydrocodone",To manage pain after surgery.
Lung Surgery (Post-surgery),"Antibiotics: Ceftriaxone, Levofloxacin, Azithromycin, Vancomycin",To prevent infections after surgery.
Lung Surgery (Post-surgery),"Steroids: Prednisone, Methylprednisolone, Dexamethasone",To reduce inflammation post-surgery.
Lung Surgery (Post-surgery),"Oxygen therapy, Mechanical ventilation",To assist breathing after surgery.
Lung Surgery (Post-surgery),"Anticoagulants: Heparin, Enoxaparin (Lovenox)",To prevent blood clots post-surgery.
Wrist Fracture (Pre-surgery),"Pain relievers: Ibuprofen, Acetaminophen, Morphine, Fentanyl",To manage pain before surgery.
Wrist Fracture (Post-surgery),"Pain relievers: Acetaminophen, Hydrocodone, Oxycodone, Fentanyl, Ibuprofen",To manage pain after surgery.
Wrist Fracture (Muscle Spasm Relief),"Cyclobenzaprine (Flexeril), Methocarbamol (Robaxin), Baclofen, Tizanidine (Zanaflex)",To relieve muscle spasms around the wrist area after the fracture.
Wrist Fracture (Inflammation),"Prednisone, Dexamethasone, Ibuprofen, Naproxen (Aleve)",To reduce inflammation and swelling around the fracture site.
Wrist Fracture (Infection Prevention),"Cefazolin, Piperacillin-tazobactam (Zosyn), Clindamycin, Vancomycin",To prevent or treat infections related to the fracture or surgery.
Wrist Fracture (Bone Healing),"Calcium, Vitamin D3, Bisphosphonates (Alendronate, Risedronate)",To support bone healing and prevent further bone loss.
Finger Fracture (Pre-surgery),"Pain relievers: Ibuprofen, Acetaminophen, Morphine, Fentanyl",To manage pain before surgery.
Finger Fracture (Post-surgery),"Pain relievers: Acetaminophen, Hydrocodone, Oxycodone, Fentanyl, Ibuprofen",To manage pain after surgery.
Finger Fracture (Muscle Spasm Relief),"Cyclobenzaprine (Flexeril), Methocarbamol (Robaxin), Baclofen, Tizanidine (Zanaflex)",To relieve muscle spasms that may occur around the fractured area.
Finger Fracture (Inflammation),"Prednisone, Dexamethasone, Ibuprofen, Naproxen (Aleve)",To reduce inflammation and swelling around the fracture site.
Finger Fracture (Infection Prevention),"Cefazolin, Piperacillin-tazobactam (Zosyn), Clindamycin, Vancomycin",To prevent or treat infections related to the fracture or surgery.
Finger Fracture (Bone Healing),"Calcium, Vitamin D3, Bisphosphonates (Alendronate, Risedronate)",To support bone healing and prevent further bone loss
Elbow Fracture (Pre-surgery),"Pain relievers: Ibuprofen, Acetaminophen, Morphine, Fentanyl",To manage pain before surgery.
Elbow Fracture (Pre-surgery),"Muscle relaxants: Cyclobenzaprine (Flexeril), Methocarbamol (Robaxin), Baclofen",To alleviate muscle spasms around the fracture site.
Elbow Fracture (Post-surgery),"Pain relievers: Acetaminophen, Hydrocodone, Oxycodone, Fentanyl, Ibuprofen",To manage pain after surgery.
Elbow Fracture (Post-surgery),"Anti-inflammatory: Prednisone, Dexamethasone, Ibuprofen, Naproxen (Aleve)",To reduce inflammation and swelling after surgery.
Elbow Fracture (Infection Prevention),"Cefazolin, Piperacillin-tazobactam (Zosyn), Clindamycin, Vancomycin",To prevent or treat infections related to the fracture or surgery.
Elbow Fracture (Bone Healing),"Calcium, Vitamin D3, Bisphosphonates (Alendronate, Risedronate)",To promote bone healing and prevent bone loss.
Elbow Fracture (Muscle Spasm Relief),"Tizanidine (Zanaflex), Baclofen, Methocarbamol (Robaxin)",To reduce muscle spasms following the injury.
Arm Fracture (Pre-surgery),"Pain relievers: Ibuprofen, Acetaminophen, Morphine, Fentanyl",To manage pain before surgery.
Arm Fracture (Post-surgery),"Pain relievers: Acetaminophen, Hydrocodone, Oxycodone, Fentanyl, Ibuprofen",To manage pain after surgery.
Arm Fracture (Muscle Spasm Relief),"Cyclobenzaprine (Flexeril), Methocarbamol (Robaxin), Baclofen, Tizanidine (Zanaflex)",To alleviate muscle spasms around the fracture site.
Arm Fracture (Inflammation),"Prednisone, Dexamethasone, Ibuprofen, Naproxen (Aleve)",To reduce inflammation and swelling around the fracture.
Arm Fracture (Infection Prevention),"Cefazolin, Piperacillin-tazobactam (Zosyn), Clindamycin, Vancomycin",To prevent or treat infections related to the fracture or surgery.
Arm Fracture (Bone Healing),"Calcium, Vitamin D3, Bisphosphonates (Alendronate, Risedronate)",To support bone healing and prevent bone loss.
Knee Fracture (Pre-surgery),"Pain relievers: Ibuprofen, Acetaminophen, Morphine, Fentanyl",To manage pain before surgery.
Knee Fracture (Post-surgery),"Pain relievers: Acetaminophen, Hydrocodone, Oxycodone, Fentanyl, Ibuprofen",To manage pain after surgery.
Knee Fracture (Muscle Spasm Relief),"Cyclobenzaprine (Flexeril), Methocarbamol (Robaxin), Baclofen, Tizanidine (Zanaflex)",To alleviate muscle spasms around the knee area after the fracture.
Knee Fracture (Inflammation),"Prednisone, Dexamethasone, Ibuprofen, Naproxen (Aleve)",To reduce inflammation and swelling around the fracture site.
Knee Fracture (Infection Prevention),"Cefazolin, Piperacillin-tazobactam (Zosyn), Clindamycin, Vancomycin",To prevent or treat infections related to the fracture or surgery.
Knee Fracture (Bone Healing),"Calcium, Vitamin D3, Bisphosphonates (Alendronate, Risedronate)",To support bone healing and prevent bone loss.
ACL Injury (Pre-surgery),"Pain relievers: Ibuprofen, Acetaminophen, Morphine, Fentanyl",To manage pain before surgery.
ACL Injury (Post-surgery),"Pain relievers: Acetaminophen, Hydrocodone, Oxycodone, Fentanyl, Ibuprofen",To manage pain after ACL surgery.
ACL Injury (Muscle Spasm Relief),"Cyclobenzaprine (Flexeril), Methocarbamol (Robaxin), Baclofen, Tizanidine (Zanaflex)",To alleviate muscle spasms after ACL surgery.
ACL Injury (Inflammation),"Prednisone, Dexamethasone, Ibuprofen, Naproxen (Aleve)",To reduce inflammation and swelling after ACL surgery.
ACL Injury (Rehabilitation),"Non-steroidal anti-inflammatory drugs (NSAIDs): Ibuprofen, Naproxen (Aleve)",To reduce pain and inflammation during rehabilitation.
ACL Injury (Infection Prevention),"Cefazolin, Vancomycin, Clindamycin",To prevent infections following surgery.
Biceps Muscle Tear,"Pain relievers: Ibuprofen, Acetaminophen, Morphine, Fentanyl",To manage pain from the biceps muscle tear.
Biceps Muscle Tear,"Muscle relaxants: Cyclobenzaprine (Flexeril), Methocarbamol (Robaxin), Baclofen",To alleviate muscle spasms around the biceps area.
Biceps Muscle Tear (Inflammation),"Prednisone, Dexamethasone, Ibuprofen, Naproxen (Aleve)",To reduce inflammation around the biceps muscle.
Biceps Muscle Tear (Bone Healing),"Calcium, Vitamin D3, Bisphosphonates (Alendronate, Risedronate)",To support bone healing if the injury affects the surrounding bones.
Quadriceps Muscle Tear,"Pain relievers: Ibuprofen, Acetaminophen, Morphine, Fentanyl",To manage pain from the quadriceps muscle tear.
Quadriceps Muscle Tear,"Muscle relaxants: Cyclobenzaprine (Flexeril), Methocarbamol (Robaxin), Baclofen",To relieve muscle spasms in the quadriceps.
Quadriceps Muscle Tear (Inflammation),"Prednisone, Dexamethasone, Ibuprofen, Naproxen (Aleve)",To reduce inflammation in the quadriceps muscle.
Hamstring Muscle Tear,"Pain relievers: Ibuprofen, Acetaminophen, Morphine, Fentanyl",To manage pain from the hamstring muscle tear.
Hamstring Muscle Tear,"Muscle relaxants: Cyclobenzaprine (Flexeril), Methocarbamol (Robaxin), Baclofen",To relieve muscle spasms in the hamstrings.
Hamstring Muscle Tear (Inflammation),"Prednisone, Dexamethasone, Ibuprofen, Naproxen (Aleve)",To reduce inflammation in the hamstring muscles.
Calf Muscle Tear (Gastrocnemius),"Pain relievers: Ibuprofen, Acetaminophen, Morphine, Fentanyl",To manage pain from the calf muscle (Gastrocnemius) tear.
Calf Muscle Tear (Gastrocnemius),"Muscle relaxants: Cyclobenzaprine (Flexeril), Methocarbamol (Robaxin), Baclofen",To relieve muscle spasms in the calf muscles.
Calf Muscle Tear (Gastrocnemius),"Prednisone, Dexamethasone, Ibuprofen, Naproxen (Aleve)",To reduce inflammation around the calf muscle.
Deltoid Muscle Tear,"Pain relievers: Ibuprofen, Acetaminophen, Morphine, Fentanyl",To manage pain from the deltoid muscle tear.
Deltoid Muscle Tear,"Muscle relaxants: Cyclobenzaprine (Flexeril), Methocarbamol (Robaxin), Baclofen",To alleviate muscle spasms in the deltoid muscle.
Deltoid Muscle Tear (Inflammation),"Prednisone, Dexamethasone, Ibuprofen, Naproxen (Aleve)",To reduce inflammation around the deltoid muscle.
Pectoral Muscle Tear (Chest),"Pain relievers: Ibuprofen, Acetaminophen, Morphine, Fentanyl",To manage pain from the pectoral muscle tear.
Pectoral Muscle Tear (Chest),"Muscle relaxants: Cyclobenzaprine (Flexeril), Methocarbamol (Robaxin), Baclofen",To relieve muscle spasms in the pectoral muscles.
Pectoral Muscle Tear (Chest),"Prednisone, Dexamethasone, Ibuprofen, Naproxen (Aleve)",To reduce inflammation around the chest muscles.
Trapezius Muscle Tear,"Pain relievers: Ibuprofen, Acetaminophen, Morphine, Fentanyl",To manage pain from the trapezius muscle tear.
Trapezius Muscle Tear,"Muscle relaxants: Cyclobenzaprine (Flexeril), Methocarbamol (Robaxin), Baclofen",To relieve muscle spasms in the trapezius.
Trapezius Muscle Tear (Inflammation),"Prednisone, Dexamethasone, Ibuprofen, Naproxen (Aleve)",To reduce inflammation in the trapezius muscle.
Biceps Muscle Tear (Pre-surgery),"Pain relievers: Ibuprofen, Acetaminophen, Morphine, Fentanyl",To manage pain before surgery.
Biceps Muscle Tear (Post-surgery),"Pain relievers: Acetaminophen, Hydrocodone, Oxycodone, Fentanyl, Ibuprofen",To manage pain after surgery.
Biceps Muscle Tear (Muscle Spasm Relief),"Cyclobenzaprine (Flexeril), Methocarbamol (Robaxin), Baclofen",To alleviate muscle spasms after surgery.
Biceps Muscle Tear (Inflammation),"Prednisone, Dexamethasone, Ibuprofen, Naproxen (Aleve)",To reduce inflammation after surgery.
Biceps Muscle Tear (Bone Healing),"Calcium, Vitamin D3, Bisphosphonates (Alendronate, Risedronate)",To support bone healing if the tear affects bones.
Quadriceps Muscle Tear (Pre-surgery),"Pain relievers: Ibuprofen, Acetaminophen, Morphine, Fentanyl",To manage pain before surgery.
Quadriceps Muscle Tear (Post-surgery),"Pain relievers: Acetaminophen, Hydrocodone, Oxycodone, Fentanyl, Ibuprofen",To manage pain after surgery.
Quadriceps Muscle Tear (Muscle Spasm Relief),"Cyclobenzaprine (Flexeril), Methocarbamol (Robaxin), Baclofen",To alleviate muscle spasms after surgery.
Quadriceps Muscle Tear (Inflammation),"Prednisone, Dexamethasone, Ibuprofen, Naproxen (Aleve)",To reduce inflammation after surgery.
Hamstring Muscle Tear (Pre-surgery),"Pain relievers: Ibuprofen, Acetaminophen, Morphine, Fentanyl",To manage pain before surgery.
Hamstring Muscle Tear (Post-surgery),"Pain relievers: Acetaminophen, Hydrocodone, Oxycodone, Fentanyl, Ibuprofen",To manage pain after surgery.
Hamstring Muscle Tear (Muscle Spasm Relief),"Cyclobenzaprine (Flexeril), Methocarbamol (Robaxin), Baclofen",To alleviate muscle spasms after surgery.
Hamstring Muscle Tear (Inflammation),"Prednisone, Dexamethasone, Ibuprofen, Naproxen (Aleve)",To reduce inflammation after surgery.
Calf Muscle Tear (Gastrocnemius) (Pre-surgery),"Pain relievers: Ibuprofen, Acetaminophen, Morphine, Fentanyl",To manage pain before surgery.
Calf Muscle Tear (Gastrocnemius) (Post-surgery),"Pain relievers: Acetaminophen, Hydrocodone, Oxycodone, Fentanyl, Ibuprofen",To manage pain after surgery.
Calf Muscle Tear (Gastrocnemius) (Muscle Spasm Relief),"Cyclobenzaprine (Flexeril), Methocarbamol (Robaxin), Baclofen",To alleviate muscle spasms after surgery.
Calf Muscle Tear (Gastrocnemius) (Inflammation),"Prednisone, Dexamethasone, Ibuprofen, Naproxen (Aleve)",To reduce inflammation after surgery.
Deltoid Muscle Tear (Pre-surgery),"Pain relievers: Ibuprofen, Acetaminophen, Morphine, Fentanyl",To manage pain before surgery.
Deltoid Muscle Tear (Post-surgery),"Pain relievers: Acetaminophen, Hydrocodone, Oxycodone, Fentanyl, Ibuprofen",To manage pain after surgery.
Deltoid Muscle Tear (Muscle Spasm Relief),"Cyclobenzaprine (Flexeril), Methocarbamol (Robaxin), Baclofen",To alleviate muscle spasms after surgery.
Deltoid Muscle Tear (Inflammation),"Prednisone, Dexamethasone, Ibuprofen, Naproxen (Aleve)",To reduce inflammation after surgery.
Pectoral Muscle Tear (Chest) (Pre-surgery),"Pain relievers: Ibuprofen, Acetaminophen, Morphine, Fentanyl",To manage pain before surgery.
Pectoral Muscle Tear (Chest) (Post-surgery),"Pain relievers: Acetaminophen, Hydrocodone, Oxycodone, Fentanyl, Ibuprofen",To manage pain after surgery.
Pectoral Muscle Tear (Chest) (Muscle Spasm Relief),"Cyclobenzaprine (Flexeril), Methocarbamol (Robaxin), Baclofen",To relieve muscle spasms after surgery.
Pectoral Muscle Tear (Chest) (Inflammation),"Prednisone, Dexamethasone, Ibuprofen, Naproxen (Aleve)",To reduce inflammation around the chest muscles.
Trapezius Muscle Tear (Pre-surgery),"Pain relievers: Ibuprofen, Acetaminophen, Morphine, Fentanyl",To manage pain before surgery.
Trapezius Muscle Tear (Post-surgery),"Pain relievers: Acetaminophen, Hydrocodone, Oxycodone, Fentanyl, Ibuprofen",To manage pain after surgery.
Trapezius Muscle Tear (Muscle Spasm Relief),"Cyclobenzaprine (Flexeril), Methocarbamol (Robaxin), Baclofen",To alleviate muscle spasms after surgery.
Trapezius Muscle Tear (Inflammation),"Prednisone, Dexamethasone, Ibuprofen, Naproxen (Aleve)",To reduce inflammation in the trapezius muscle.
Posterior Cruciate Ligament (PCL) Tear,"Ibuprofen, Acetaminophen, Morphine, Fentanyl, Cyclobenzaprine (Flexeril), Baclofen, Methocarbamol, Prednisone, Dexamethasone","Pain management, muscle relaxation, inflammation reduction."
Medial Collateral Ligament (MCL) Tear,"Ibuprofen, Acetaminophen, Morphine, Fentanyl, Cyclobenzaprine (Flexeril), Baclofen, Methocarbamol, Prednisone, Dexamethasone","Pain management, muscle relaxation, inflammation reduction."
Lateral Collateral Ligament (LCL) Tear,"Ibuprofen, Acetaminophen, Morphine, Fentanyl, Cyclobenzaprine (Flexeril), Baclofen, Methocarbamol, Prednisone, Dexamethasone","Pain management, muscle relaxation, inflammation reduction."
Rotator Cuff Ligament Tear,"Ibuprofen, Acetaminophen, Morphine, Fentanyl, Cyclobenzaprine (Flexeril), Baclofen, Methocarbamol, Prednisone, Dexamethasone","Pain management, muscle relaxation, inflammation reduction."
Ulnar Collateral Ligament (UCL) Tear,"Ibuprofen, Acetaminophen, Morphine, Fentanyl, Cyclobenzaprine (Flexeril), Baclofen, Methocarbamol, Prednisone, Dexamethasone","Pain management, muscle relaxation, inflammation reduction."
Ankle Ligament Tear (Sprain),"Ibuprofen, Acetaminophen, Morphine, Fentanyl, Cyclobenzaprine (Flexeril), Baclofen, Methocarbamol, Prednisone, Dexamethasone","Pain management, muscle relaxation, inflammation reduction."
Anterior Cruciate Ligament (ACL) Tear (Pre-surgery),"Ibuprofen, Acetaminophen, Morphine, Fentanyl, Cyclobenzaprine (Flexeril), Baclofen, Methocarbamol, Prednisone, Dexamethasone","Pain management, muscle relaxation, inflammation reduction."
Anterior Cruciate Ligament (ACL) Tear (Post-surgery),"Acetaminophen, Hydrocodone, Oxycodone, Fentanyl, Ibuprofen, Cyclobenzaprine (Flexeril), Baclofen, Methocarbamol, Prednisone, Dexamethasone","Pain management, muscle relaxation, inflammation reduction."
Posterior Cruciate Ligament (PCL) Tear (Pre-surgery),"Ibuprofen, Acetaminophen, Morphine, Fentanyl, Cyclobenzaprine (Flexeril), Baclofen, Methocarbamol, Prednisone, Dexamethasone","Pain management, muscle relaxation, inflammation reduction."
Posterior Cruciate Ligament (PCL) Tear (Post-surgery),"Acetaminophen, Hydrocodone, Oxycodone, Fentanyl, Ibuprofen, Cyclobenzaprine (Flexeril), Baclofen, Methocarbamol, Prednisone, Dexamethasone","Pain management, muscle relaxation, inflammation reduction."
Medial Collateral Ligament (MCL) Tear (Pre-surgery),"Ibuprofen, Acetaminophen, Morphine, Fentanyl, Cyclobenzaprine (Flexeril), Baclofen, Methocarbamol, Prednisone, Dexamethasone","Pain management, muscle relaxation, inflammation reduction."
Medial Collateral Ligament (MCL) Tear (Post-surgery),"Acetaminophen, Hydrocodone, Oxycodone, Fentanyl, Ibuprofen, Cyclobenzaprine (Flexeril), Baclofen, Methocarbamol, Prednisone, Dexamethasone","Pain management, muscle relaxation, inflammation reduction."
Lateral Collateral Ligament (LCL) Tear (Pre-surgery),"Ibuprofen, Acetaminophen, Morphine, Fentanyl, Cyclobenzaprine (Flexeril), Baclofen, Methocarbamol, Prednisone, Dexamethasone","Pain management, muscle relaxation, inflammation reduction."
Lateral Collateral Ligament (LCL) Tear (Post-surgery),"Acetaminophen, Hydrocodone, Oxycodone, Fentanyl, Ibuprofen, Cyclobenzaprine (Flexeril), Baclofen, Methocarbamol, Prednisone, Dexamethasone","Pain management, muscle relaxation, inflammation reduction."
Rotator Cuff Ligament Tear (Pre-surgery),"Ibuprofen, Acetaminophen, Morphine, Fentanyl, Cyclobenzaprine (Flexeril), Baclofen, Methocarbamol, Prednisone, Dexamethasone","Pain management, muscle relaxation, inflammation reduction."
Rotator Cuff Ligament Tear (Post-surgery),"Acetaminophen, Hydrocodone, Oxycodone, Fentanyl, Ibuprofen, Cyclobenzaprine (Flexeril), Baclofen, Methocarbamol, Prednisone, Dexamethasone","Pain management, muscle relaxation, inflammation reduction."
Ulnar Collateral Ligament (UCL) Tear (Pre-surgery),"Ibuprofen, Acetaminophen, Morphine, Fentanyl, Cyclobenzaprine (Flexeril), Baclofen, Methocarbamol, Prednisone, Dexamethasone","Pain management, muscle relaxation, inflammation reduction."
Ulnar Collateral Ligament (UCL) Tear (Post-surgery),"Acetaminophen, Hydrocodone, Oxycodone, Fentanyl, Ibuprofen, Cyclobenzaprine (Flexeril), Baclofen, Methocarbamol, Prednisone, Dexamethasone","Pain management, muscle relaxation, inflammation reduction."
Ankle Ligament Tear (Sprain) (Pre-surgery),"Ibuprofen, Acetaminophen, Morphine, Fentanyl, Cyclobenzaprine (Flexeril), Baclofen, Methocarbamol, Prednisone, Dexamethasone","Pain management, muscle relaxation, inflammation reduction."
Ankle Ligament Tear (Sprain) (Post-surgery),"Acetaminophen, Hydrocodone, Oxycodone, Fentanyl, Ibuprofen, Cyclobenzaprine (Flexeril), Baclofen, Methocarbamol, Prednisone, Dexamethasone","Pain management, muscle relaxation, inflammation reduction."
Lateral Malleolus Fracture,"Ibuprofen, Acetaminophen, Morphine, Fentanyl, Cyclobenzaprine (Flexeril), Baclofen, Methocarbamol, Prednisone, Dexamethasone","Pain management, muscle relaxation, inflammation reduction."
Medial Malleolus Fracture,"Ibuprofen, Acetaminophen, Morphine, Fentanyl, Cyclobenzaprine (Flexeril), Baclofen, Methocarbamol, Prednisone, Dexamethasone","Pain management, muscle relaxation, inflammation reduction."
Bimalleolar Fracture,"Ibuprofen, Acetaminophen, Morphine, Fentanyl, Cyclobenzaprine (Flexeril), Baclofen, Methocarbamol, Prednisone, Dexamethasone","Pain management, muscle relaxation, inflammation reduction."
Trimalleolar Fracture,"Ibuprofen, Acetaminophen, Morphine, Fentanyl, Cyclobenzaprine (Flexeril), Baclofen, Methocarbamol, Prednisone, Dexamethasone","Pain management, muscle relaxation, inflammation reduction."
Lateral Malleolus Fracture (Pre-surgery),"Ibuprofen, Acetaminophen, Morphine, Fentanyl, Cyclobenzaprine (Flexeril), Baclofen, Methocarbamol, Prednisone, Dexamethasone","Pain management, muscle relaxation, inflammation reduction."
Lateral Malleolus Fracture (Post-surgery),"Acetaminophen, Hydrocodone, Oxycodone, Fentanyl, Ibuprofen, Cyclobenzaprine (Flexeril), Baclofen, Methocarbamol, Prednisone, Dexamethasone","Pain management, muscle relaxation, inflammation reduction."
Medial Malleolus Fracture (Pre-surgery),"Ibuprofen, Acetaminophen, Morphine, Fentanyl, Cyclobenzaprine (Flexeril), Baclofen, Methocarbamol, Prednisone, Dexamethasone","Pain management, muscle relaxation, inflammation reduction."
Medial Malleolus Fracture (Post-surgery),"Acetaminophen, Hydrocodone, Oxycodone, Fentanyl, Ibuprofen, Cyclobenzaprine (Flexeril), Baclofen, Methocarbamol, Prednisone, Dexamethasone","Pain management, muscle relaxation, inflammation reduction."
Bimalleolar Fracture (Pre-surgery),"Ibuprofen, Acetaminophen, Morphine, Fentanyl, Cyclobenzaprine (Flexeril), Baclofen, Methocarbamol, Prednisone, Dexamethasone","Pain management, muscle relaxation, inflammation reduction."
Bimalleolar Fracture (Post-surgery),"Acetaminophen, Hydrocodone, Oxycodone, Fentanyl, Ibuprofen, Cyclobenzaprine (Flexeril), Baclofen, Methocarbamol, Prednisone, Dexamethasone","Pain management, muscle relaxation, inflammation reduction."
